Date,PlannerName,TaskName,Status
9/24/2020,Planner1,Kurdish,In Progress
6/5/2020,Planner3,Gujarati,Done
11/15/2020,Planner2,Tok Pisin,New
5/20/2020,Planner3,Kurdish,Done
3/21/2020,Planner2,West Frisian,New
7/13/2020,Planner1,Guaraní,Done
9/21/2020,Planner3,Swedish,Done
4/2/2020,Planner4,Kashmiri,New
11/26/2020,Planner1,Haitian Creole,In Progress
5/13/2020,Planner1,Polish,New
2/28/2020,Planner1,Chinese,New
1/19/2020,Planner2,West Frisian,Done
4/25/2020,Planner3,Zulu,Done
11/29/2020,Planner2,Marathi,Done
12/25/2019,Planner1,Assamese,New
6/24/2020,Planner3,Norwegian,In Progress
11/17/2020,Planner3,Tswana,New
9/23/2020,Planner3,Northern Sotho,Done
9/21/2020,Planner1,Persian,New
1/16/2020,Planner2,Kurdish,Done
11/1/2020,Planner3,Lao,New
9/3/2020,Planner1,Bengali,In Progress
11/22/2020,Planner4,Azeri,New
12/27/2019,Planner1,Estonian,In Progress
12/17/2019,Planner1,Malagasy,Done
7/15/2020,Planner2,Norwegian,In Progress
10/27/2020,Planner4,Burmese,In Progress
3/5/2020,Planner2,Tok Pisin,Done
5/29/2020,Planner3,Somali,In Progress
11/18/2020,Planner1,Tswana,New
8/22/2020,Planner3,Swati,Done
10/31/2020,Planner2,Tajik,In Progress
5/24/2020,Planner3,Hungarian,In Progress
4/21/2020,Planner3,Swati,In Progress
1/5/2020,Planner1,French,New
11/27/2020,Planner1,Croatian,Done
1/11/2020,Planner3,Gujarati,Done
10/5/2020,Planner4,Hindi,Done
6/8/2020,Planner4,Aymara,In Progress
1/30/2020,Planner3,English,In Progress
3/6/2020,Planner2,Finnish,Done
2/14/2020,Planner3,Mongolian,Done
6/10/2020,Planner4,Greek,New
1/19/2020,Planner3,Aymara,In Progress
6/20/2020,Planner2,Dzongkha,In Progress
8/23/2020,Planner4,Tetum,New
8/11/2020,Planner2,Swati,Done
6/21/2020,Planner2,Aymara,In Progress
8/25/2020,Planner2,West Frisian,In Progress
12/30/2019,Planner4,Chinese,Done
8/19/2020,Planner2,Lithuanian,Done
3/11/2020,Planner3,Kashmiri,In Progress
4/23/2020,Planner3,Czech,In Progress
6/17/2020,Planner2,English,Done
10/1/2020,Planner4,Kashmiri,New
5/30/2020,Planner1,Tajik,In Progress
5/16/2020,Planner4,Korean,In Progress
3/23/2020,Planner4,Aymara,New
7/31/2020,Planner4,Chinese,Done
1/24/2020,Planner4,Armenian,In Progress
2/17/2020,Planner1,Bengali,New
10/11/2020,Planner1,Bislama,New
8/23/2020,Planner3,Assamese,Done
9/10/2020,Planner4,Montenegrin,New
5/11/2020,Planner4,Somali,In Progress
8/11/2020,Planner3,Burmese,In Progress
9/26/2020,Planner1,Tsonga,In Progress
12/11/2019,Planner3,Romanian,Done
4/26/2020,Planner1,Latvian,Done
6/10/2020,Planner3,Irish Gaelic,New
11/10/2020,Planner3,Assamese,Done
12/16/2019,Planner3,Kurdish,In Progress
6/3/2020,Planner2,Dzongkha,Done
3/22/2020,Planner1,Guaraní,Done
5/26/2020,Planner4,French,Done
3/14/2020,Planner1,Gujarati,In Progress
7/31/2020,Planner3,Telugu,New
5/3/2020,Planner1,Dutch,In Progress
2/2/2020,Planner1,Tok Pisin,New
4/28/2020,Planner1,Hindi,New
4/16/2020,Planner1,Malayalam,In Progress
7/12/2020,Planner1,Lithuanian,New
3/7/2020,Planner3,Gagauz,New
7/9/2020,Planner3,Tswana,New
7/6/2020,Planner1,English,In Progress
8/11/2020,Planner3,Yiddish,In Progress
8/22/2020,Planner2,Macedonian,Done
2/13/2020,Planner3,Korean,In Progress
1/16/2020,Planner4,Catalan,Done
8/6/2020,Planner2,Montenegrin,In Progress
8/10/2020,Planner3,Hiri Motu,In Progress
10/20/2020,Planner3,Lithuanian,New
2/29/2020,Planner2,Guaraní,Done
5/19/2020,Planner3,Maltese,New
12/24/2019,Planner3,Telugu,In Progress
8/24/2020,Planner4,Tsonga,In Progress
12/7/2019,Planner4,Lithuanian,New
1/23/2020,Planner1,English,In Progress
4/21/2020,Planner4,Kurdish,New
4/26/2020,Planner3,Northern Sotho,Done
10/6/2020,Planner2,Dari,In Progress
8/5/2020,Planner2,Italian,Done
2/6/2020,Planner4,English,New
10/17/2020,Planner3,Pashto,Done
1/1/2020,Planner3,Kazakh,New
12/16/2019,Planner2,Czech,Done
